id,mutated,cleaned
0,lodsd;sub eax ebx;push edx;mov edx 769D93D9h;xor eax edx;push dword ptr [esp];pop edx;push ebp;mov ebp esp;add ebp 4;add ebp 4;xchg ebp [esp];pop esp;push 28D2h;mov [esp] esi;mov esi 5955h;push ebx;mov ebx 713981AEh;xor esi ebx;pop ebx;xor eax esi;pop esi;xor ebx eax;push ecx;mov ecx 4A1h;add ecx 6A7Bh;add ecx 0FFFF9110h;add ecx edi;add eax [ecx];push dword ptr [esp];pop ecx;add esp 4;push ecx;mov ecx esp;add ecx 4;sub ecx 4;push ecx;push dword ptr [esp+4];pop ecx;pop dword ptr [esp];mov esp [esp];mov [esp] eax;,pop ecx;shl dword ptr [esp] cl;
1,mov ax [esp];push edi;mov edi esp;push eax;mov eax 4;add edi eax;pop eax;add edi 2;xchg edi [esp];mov esp [esp];and [esp] al;pushf;,pop esp;
2,lodsd;cmp dword ptr [edi+20h] 0;jz loc_1CC73;add esi eax;mov ebx 245h;push 1D51h;mov [esp] edx;mov edx 0;sub edx ebx;xchg edx ebx;pop edx;shr ebx 14h;push ecx;mov ecx 0FFFh;sub ebx ecx;pop ecx;label_1cc73:;push edi;mov edi esp;add edi 4;push eax;mov eax 4;sub edi eax;pop eax;xchg edi [esp];pop esp;mov [esp] eax;pop eax;,pop eax;xor [esp] eax;
3,mov cx [esp];push eax;mov eax esp;push edx;mov edx 4;add eax edx;mov edx [esp];add esp 4;add eax 2;xchg eax [esp];pop esp;ror byte ptr [esp] cl;pushf;,pop ax;btr [esp] ax;pushf;
4,pop dword ptr [edi+3Ch];,and dword ptr [edi+1Ch] 0FFFFFDFFh;
5,mov cx [esp];push 417Eh;mov [esp] edx;mov edx esp;add edx 4;add edx 2;xor edx [esp];xor [esp] edx;xor edx [esp];pop esp;mov ax [esp];push edx;mov edx esp;push edi;mov edi 4;add edx edi;pop edi;add edx 2;xchg edx [esp];mov esp [esp];mul  cx;push edi;push esp;pop edi;push edx;mov edx 4;add edi edx;pop edx;sub edi 2;xchg edi [esp];pop esp;mov [esp] dx;push ax;pushf;,pop ax;sub [esp] al;pushf;
6,mov cx [esp];sub esp 4;mov [esp] ebx;mov ebx esp;add ebx 4;add ebx 2;xor ebx [esp];xor [esp] ebx;xor ebx [esp];pop esp;mov ax [esp];push 3AFEh;mov [esp] ecx;push esp;pop ecx;add ecx 4;add ecx 2;xchg ecx [esp];pop esp;mul  cl;movzx cx ah;push eax;mov eax esp;push edi;mov edi 4;add eax edi;pop edi;push esi;mov esi 2;sub eax esi;pop esi;xchg eax [esp];pop esp;mov [esp] cx;movzx cx al;push cx;pushf;,pop ax;or [esp] ax;pushf;
7,mov ax [esp];push ecx;mov ecx esp;add ecx 4;push eax;push ecx;mov ecx 2;mov eax ecx;pop ecx;add ecx eax;pop eax;xchg ecx [esp];pop esp;mov fs:[edx] ax;,pop cx;shl byte ptr [esp] cl;pushf;
8,lodsd;sub eax ebx;push edx;push ecx;mov ecx 53F9h;sub ecx 5AB0h;add ecx 4E3Eh;not ecx;add ecx 4B60DA45h;push ecx;pop edx;pop ecx;add eax edx;pop edx;push 1A5Eh;mov [esp] ecx;mov ecx 27785512h;sub eax ecx;push dword ptr [esp];pop ecx;add esp 4;sub ebx eax;xor edx eax;,push esp;
9,lodsd;add esi eax;mov ebx 2B7Bh;push 2EB2h;mov [esp] ecx;mov ecx 9E6h;xor ebx ecx;mov ecx [esp];add esp 4;xor ebx 229Dh;,pop ax;pop cx;test cx ax;pushf;
10,mov cx [esp];push eax;push esp;pop eax;add eax 4;push edx;mov edx 2;add eax edx;pop edx;xchg eax [esp];pop esp;rol word ptr [esp] cl;pushf;,pop cx;rol word ptr [esp] cl;pushf;
11,mov ax [esp];push ecx;push esp;pop ecx;add ecx 4;push esi;mov esi 2;add ecx esi;pop esi;xchg ecx [esp];pop esp;add [esp] ax;pushf;,pop ax;add [esp] ax;pushf;
12,mov ax [esp];push edx;mov edx esp;push edi;mov edi 4;add edx edi;pop edi;add edx 2;xchg edx [esp];mov esp [esp];or [esp] al;pushf;,pop cx;pop ax;div  cx;push dx;push ax;pushf;
13,mov ax [esp];push ecx;mov ecx esp;add ecx 4;add ecx 2;xor ecx [esp];xor [esp] ecx;xor ecx [esp];mov esp [esp];mov cx [esp];push edi;mov edi esp;add edi 4;add edi 2;push edi;push dword ptr [esp+4];pop edi;pop dword ptr [esp];mov esp [esp];cmp cx ax;pushf;,pop ax;adc [esp] ax;pushf;
14,mov ax [esp];push ebx;mov ebx esp;add ebx 4;push ecx;mov ecx 2;add ebx ecx;pop ecx;xor ebx [esp];xor [esp] ebx;xor ebx [esp];pop esp;mov cx [esp];push edi;push esp;pop edi;add edi 4;push edx;mov edx 2;add edi edx;pop edx;xchg edi [esp];pop esp;test cl al;pushf;,push dword ptr [edx];
15,push dword ptr [esp];mov ecx [esp];add esp 4;push edi;mov edi esp;add edi 4;add edi 4;xchg edi [esp];pop esp;mov eax [esp];push ecx;mov ecx esp;add ecx 4;push edi;mov edi 4;add ecx edi;pop edi;push ecx;push dword ptr [esp+4];pop ecx;pop dword ptr [esp];pop esp;mov edx [esp];push edx;push 12EEh;mov [esp] esp;add dword ptr [esp] 4;pop edx;add edx 4;add edx 4;xchg edx [esp];pop esp;div  ecx;push edx;push esp;pop edx;push ebp;mov ebp 4;add edx ebp;pop ebp;sub edx 4;xchg edx [esp];pop esp;mov [esp] edx;push eax;pushf;,movzx ax byte ptr [edx];push ax;
16,lodsd;xor eax ebx;push 2C06h;mov [esp] ebx;push ebp;mov ebp 5A514DD9h;push ebp;pop ebx;pop ebp;sub eax ebx;pop ebx;sub esp 4;mov [esp] edx;push esi;push ecx;mov ecx 15228AA9h;mov esi ecx;pop ecx;mov edx esi;pop esi;xor eax edx;pop edx;sub ebx eax;push ebx;mov bh 0D9h;or bh 0FDh;xor bh 82h;and al bh;mov ebx [esp];push ebx;mov ebx esp;add ebx 4;add ebx 4;xchg ebx [esp];pop esp;push 76EAh;mov [esp] ebx;push eax;push dword ptr [esp];pop ebx;push ebx;mov ebx esp;add ebx 4;add ebx 4;xchg ebx [esp];pop esp;push 0AC4h;mov [esp] ebp;mov ebp 1;mov [edi+20h] ebp;push dword ptr [esp];pop ebp;add esp 4;mov dword ptr [edi+24h] 3F2Dh;push ebx;mov ebx 24h;add ebx edi;add dword ptr [ebx] 6EEh;pop ebx;push edx;mov edx 24h;add edx edi;xor dword ptr [edx] 5D10h;pop edx;xor dword ptr [edi+24h] 1B0Bh;xor edx edx;push 3919h;mov [esp] ebx;push dword ptr [esp];pop eax;add esp 4;push edx;sub esp 4;mov [esp] edi;mov edi 200h;push edi;pop edx;pop edi;and eax edx;pop edx;push 6E9Bh;mov [esp] ebx;mov ebx 1Ch;add ebx edi;mov ecx [ebx];mov ebx [esp];push edi;mov edi esp;add edi 4;add edi 4;xchg edi [esp];pop esp;push edx;sub esp 4;mov [esp] esi;mov esi 37D1h;mov edx esi;pop esi;add edx 0FFFFC830h;and ecx edx;pop edx;shr ecx 0;or eax eax;jz loc_1B3F3;sub esp 4;mov [esp] ebx;push dword ptr [esp];pop eax;add esp 4;push ebx;mov ebx 1240h;add ebx 5725h;push esi;mov esi 222Ah;or ebx esi;pop esi;add ebx 0FFFF9591h;and eax ebx;mov ebx [esp];add esp 4;shr eax 8;xor eax ecx;xchg eax edx;push edx;push eax;pop edx;mov eax [esp];add esp 4;not eax;xchg eax edx;xchg eax edx;push esi;push 17A5h;mov [esp] ebx;mov ebx 1;push ebx;pop esi;pop ebx;and eax esi;pop esi;or edx eax;shl edx 1;push 5216h;mov [esp] ecx;mov ecx 0FFFFFFFFh;sub [edi+24h] ecx;mov ecx [esp];add esp 4;label_1b3f3:;push ebp;mov ebp esp;add ebp 4;sub ebp 4;xchg ebp [esp];pop esp;mov [esp] ebx;mov eax [esp];add esp 4;push eax;mov eax esp;add eax 4;push ebp;mov ebp 4;sub eax ebp;pop ebp;xchg eax [esp];pop esp;mov [esp] edi;mov edi 800h;and eax edi;pop edi;or eax eax;jz loc_1A480;push eax;mov eax 1Ch;add eax edi;push 62A4h;mov [esp] edx;mov edx 0;add edx eax;mov ecx [edx];mov edx [esp];add esp 4;pop eax;push edi;mov edi 40h;and ecx edi;push dword ptr [esp];pop edi;push ecx;mov ecx esp;add ecx 4;add ecx 4;xchg ecx [esp];pop esp;shr ecx 6;push 6785h;mov [esp] ebx;mov eax [esp];push edi;mov edi esp;add edi 4;add edi 4;xchg edi [esp];pop esp;push ebp;mov ebp 407Ch;add ebp 0FFFFC967h;push edi;mov edi 0CBh;add ebp edi;pop edi;add ebp 0FFFFF952h;and eax ebp;pop ebp;shr eax 0Ah;xor eax ecx;push eax;push ebx;push dword ptr [esp+4];mov ebx [esp];add esp 4;pop dword ptr [esp];not ebx;xchg ebx [esp];pop eax;push 68C2h;mov [esp] edx;mov edx 1;and eax edx;push dword ptr [esp];pop edx;add esp 4;or edx eax;shl edx 1;sub esp 4;mov [esp] ecx;mov ecx 24h;add ecx edi;push ebp;mov ebp 1;add [ecx] ebp;pop ebp;pop ecx;label_1a480:;push 2D6Bh;mov [esp] ebx;mov eax [esp];push esi;mov esi esp;add esi 4;add esi 4;xchg esi [esp];pop esp;push ebp;mov ebp esp;add ebp 4;sub ebp 4;xor ebp [esp];xor [esp] ebp;xor ebp [esp];pop esp;mov [esp] ebx;mov ebx 2000000h;and eax ebx;pop ebx;or eax eax;jz loc_1A976;push 24F6h;mov [esp] eax;mov eax 1Ch;add eax edi;push ebx;mov ebx 0;add ebx eax;mov ecx [ebx];mov ebx [esp];add esp 4;pop eax;push eax;mov eax 79A6h;dec eax;sub eax 335Eh;sub eax 41E3h;push edx;mov edx 0FFFFFBA0h;add eax edx;mov edx [esp];add esp 4;and ecx eax;pop eax;shr ecx 0Ah;push ebx;push dword ptr [esp];pop eax;push ecx;mov ecx esp;add ecx 4;add ecx 4;xchg ecx [esp];pop esp;push ebx;mov ebx 1000000h;and eax ebx;push dword ptr [esp];pop ebx;push edx;mov edx esp;add edx 4;add edx 4;xchg edx [esp];pop esp;shr eax 18h;xor eax ecx;push eax;not dword ptr [esp];mov eax [esp];push edx;push esp;pop edx;add edx 4;add edx 4;xchg edx [esp];pop esp;push edi;mov edi 1;and eax edi;mov edi [esp];push ebx;mov ebx esp;add ebx 4;add ebx 4;push ebx;push dword ptr [esp+4];pop ebx;pop dword ptr [esp];pop esp;or edx eax;shl edx 1;push eax;mov eax 24h;add eax edi;push edx;mov edx 1;add [eax] edx;pop edx;mov eax [esp];add esp 4;label_1a976:;push ebx;push dword ptr [esp];pop eax;push edx;mov edx esp;add edx 4;add edx 4;xchg edx [esp];pop esp;push ecx;mov ecx esp;add ecx 4;sub ecx 4;push ecx;push dword ptr [esp+4];pop ecx;pop dword ptr [esp];pop esp;mov [esp] ecx;mov ecx 2000h;and eax ecx;pop ecx;or eax eax;jz loc_19EB1;push edx;mov edx 1Ch;add edx edi;mov ecx [edx];mov edx [esp];push edi;mov edi esp;push ebx;mov ebx 4;add edi ebx;pop ebx;add edi 4;xchg edi [esp];pop esp;push 293Ch;mov [esp] ebx;mov ebx 157h;shr ebx 0;shr ebx 1Ah;inc ebx;sub ebx 6B66h;xor ebx 0FFFF941Bh;and ecx ebx;mov ebx [esp];add esp 4;shr ecx 7;sub esp 4;mov [esp] ebx;push dword ptr [esp];pop eax;add esp 4;push esi;push 5E9h;mov [esp] eax;mov eax 1000h;mov esi eax;mov eax [esp];add esp 4;and eax esi;pop esi;shr eax 0Ch;xor eax ecx;xor eax esi;xor esi eax;xor eax esi;xchg ebp esi;xchg ebx ebp;not ebx;xchg ebx ebp;xchg ebp esi;xchg eax esi;push edx;mov edx 6BA0h;dec edx;push ebx;mov ebx 4498h;and edx ebx;pop ebx;sub edx 5F03h;add edx 1E6Ch;and eax edx;mov edx [esp];add esp 4;or edx eax;shl edx 1;sub esp 4;mov [esp] ebp;push ebx;mov ebx 1;mov ebp ebx;pop ebx;add [edi+24h] ebp;pop ebp;label_19eb1:;push ebx;push dword ptr [esp];mov eax [esp];add esp 4;add esp 4;push 1684h;mov [esp] ecx;push eax;mov eax 8000h;push eax;pop ecx;pop eax;and eax ecx;pop ecx;or eax eax;jz loc_1CC65;push ebx;mov ebx 1Ch;add ebx edi;mov ecx [ebx];mov ebx [esp];push esi;mov esi esp;push eax;mov eax 4;add esi eax;pop eax;add esi 4;xchg esi [esp];pop esp;push 767Dh;mov [esp] edx;mov edx 800h;and ecx edx;mov edx [esp];push ecx;mov ecx esp;add ecx 4;add ecx 4;xchg ecx [esp];pop esp;shr ecx 0Bh;push 44BEh;mov [esp] ebx;push dword ptr [esp];pop eax;add esp 4;push ecx;mov ecx 44FFh;push ebx;mov ebx 4FFh;sub ecx ebx;pop ebx;and eax ecx;mov ecx [esp];add esp 4;shr eax 0Eh;xor eax ecx;sub esp 4;mov [esp] eax;not dword ptr [esp];mov eax [esp];push ecx;mov ecx esp;add ecx 4;add ecx 4;xchg ecx [esp];pop esp;push 15C1h;mov [esp] edx;mov edx 1;and eax edx;mov edx [esp];push ecx;mov ecx esp;add ecx 4;add ecx 4;xchg ecx [esp];pop esp;or edx eax;shl edx 1;push eax;mov eax 24h;add eax edi;xor [eax] edx;pop eax;xor edx [edi+24h];xor [edi+24h] edx;xchg ebp edx;inc ebp;xchg ebp edx;xchg edx [edi+24h];label_1cc65:;push 6FF8h;mov [esp] ebx;mov eax [esp];add esp 4;push edx;mov edx 66C9h;xor edx 3230h;push ecx;mov ecx 254F9h;xor edx ecx;mov ecx [esp];add esp 4;and eax edx;pop edx;or eax eax;jz loc_1C69E;sub esp 4;mov [esp] edx;mov edx 6C1Fh;shr edx 4;and edx 367Eh;xor edx 65Ch;add edx edi;push eax;mov eax 0;add eax edx;mov ecx [eax];pop eax;pop edx;push 1B49h;mov [esp] esi;mov esi 4;and ecx esi;mov esi [esp];push esi;mov esi esp;add esi 4;add esi 4;xchg esi [esp];pop esp;shr ecx 2;push ebx;mov eax [esp];push edx;mov edx esp;add edx 4;add edx 4;push edx;push dword ptr [esp+4];pop edx;pop dword ptr [esp];pop esp;push esi;push ebx;mov ebx 1F5Ah;mov esi ebx;pop ebx;dec esi;push edx;mov edx 374Bh;sub esi edx;pop edx;shr esi 13h;and esi 6224h;inc esi;xor esi 10225h;and eax esi;pop esi;shr eax 10h;xor eax ecx;sub esp 4;mov [esp] eax;xchg ebp [esp];push ebp;not dword ptr [esp];pop ebp;xchg ebp [esp];pop eax;push edi;mov edi 6CD1h;xor edi 6CD0h;and eax edi;push dword ptr [esp];pop edi;add esp 4;or edx eax;shl edx 1;push ecx;push ebp;mov ebp 1;mov ecx ebp;mov ebp [esp];add esp 4;add [edi+24h] ecx;pop ecx;label_1c69e:;push ebx;mov eax [esp];sub esp 4;mov [esp] eax;mov eax esp;add eax 4;add eax 4;xchg eax [esp];pop esp;push ebp;mov ebp 157Eh;add ebp 1D0Ch;xchg edi ebp;inc edi;xchg edi ebp;push ecx;mov ecx 0;sub ecx ebp;xchg ecx ebp;pop ecx;dec ebp;sub ebp 0FFF7CD74h;and eax ebp;pop ebp;or eax eax;jz loc_1C8CE;sub esp 4;mov [esp] edx;mov edx 1Ch;add edx edi;mov ecx [edx];push dword ptr [esp];pop edx;add esp 4;push ebx;push edi;mov edi 80h;push edi;mov ebx [esp];add esp 4;pop edi;and ecx ebx;pop ebx;shr ecx 7;sub esp 4;mov [esp] ebx;push ebp;mov ebp 1Ch;mov ebx ebp;pop ebp;add ebx edi;mov eax [ebx];mov ebx [esp];add esp 4;sub esp 4;mov [esp] ecx;push 399Ah;mov [esp] eax;mov eax 800h;mov ecx eax;pop eax;and eax ecx;pop ecx;shr eax 0Bh;xor ecx eax;push ebx;push dword ptr [esp];pop eax;push edx;mov edx esp;add edx 4;add edx 4;xchg edx [esp];pop esp;push 28F0h;mov [esp] ebx;mov ebx 6E7Fh;push esi;mov esi 111Eh;add ebx esi;pop esi;add ebx 38063h;and eax ebx;pop ebx;shr eax 12h;xor eax ecx;xor eax ebx;xor ebx eax;xor eax ebx;xchg esi ebx;not esi;xchg esi ebx;xor eax ebx;xor ebx eax;xor eax ebx;push edi;push ecx;mov ecx 7CC2h;and ecx 3520h;not ecx;xchg ebx ecx;inc ebx;xchg ebx ecx;or ecx 2718h;sub ecx 0FFFFEF17h;mov edi ecx;pop ecx;and eax edi;pop edi;or edx eax;shl edx 1;sub esp 4;mov [esp] edx;push eax;mov eax 0FFFFFFFFh;mov edx eax;pop eax;sub [edi+24h] edx;pop edx;label_1c8ce:;push esi;mov esi esp;add esi 4;sub esi 4;xchg esi [esp];pop esp;mov [esp] ebx;mov eax [esp];add esp 4;push ebp;mov ebp 47B5h;dec ebp;dec ebp;inc ebp;push 0ACh;mov [esp] edi;mov edi 1FB84Ch;add ebp edi;pop edi;and eax ebp;pop ebp;or eax eax;jz loc_1A4CD;sub esp 4;mov [esp] edx;mov edx 28h;add edx edi;mov eax [edx];mov edx [esp];push ecx;mov ecx esp;add ecx 4;add ecx 4;xchg ecx [esp];pop esp;mov eax [edi+eax*4];push ebp;mov ebp esp;add ebp 4;sub ebp 4;xchg ebp [esp];mov esp [esp];mov [esp] edi;mov edi 0FFFFh;and eax edi;pop edi;or eax eax;jnz loc_1A4CD;push 5300h;mov [esp] eax;mov eax 1;mov edx eax;mov eax [esp];push ebx;mov ebx esp;add ebx 4;add ebx 4;xchg ebx [esp];pop esp;label_1a4cd:;push 2280h;mov [esp] ebx;mov eax [esp];add esp 4;sub esp 4;mov [esp] edi;mov edi 748Eh;and edi 4C56h;not edi;or edi 696Bh;xor edi 0FF7FFBFBh;and eax edi;mov edi [esp];add esp 4;or eax eax;jz loc_1A7CC;push eax;mov eax esp;add eax 4;sub eax 4;xor eax [esp];xor [esp] eax;xor eax [esp];pop esp;mov [esp] ecx;mov ecx 28h;add ecx edi;mov eax [ecx];pop ecx;mov eax [edi+eax*4];or eax eax;jnz loc_1A7CC;sub esp 4;mov [esp] esi;mov esi 51CFh;shl esi 8;inc esi;dec esi;shl esi 18h;add esi 235Bh;neg esi;dec esi;add esi 235Dh;mov edx esi;pop esi;label_1a7cc:;sub esp 4;mov [esp] edx;mov edx 24h;add edx edi;push eax;push esi;mov esi 0;mov eax esi;pop esi;add eax edx;mov ecx [eax];pop eax;pop edx;push 5552h;mov [esp] edi;push esi;mov esi 1;mov edi esi;pop esi;push edi;pop eax;pop edi;shl eax cl;sub esp 4;mov [esp] eax;dec dword ptr [esp];mov eax [esp];push edi;mov edi esp;add edi 4;add edi 4;xchg edi [esp];pop esp;push ecx;mov ecx esp;add ecx 4;sub ecx 4;xchg ecx [esp];pop esp;mov [esp] esi;push edi;mov edi 10h;mov esi edi;pop edi;and ebx esi;pop esi;or ebx ebx;jnz loc_1AD31;sub esp 4;mov [esp] ebx;mov ebx 20h;add ebx edi;push ecx;mov ecx 0;add ecx ebx;mov [ecx] edx;pop ecx;mov ebx [esp];add esp 4;mov ebx [esp];push ebx;push esp;pop ebx;push edx;mov edx 4;add ebx edx;pop edx;add ebx 4;xchg ebx [esp];pop esp;,;
17,mov eax [esp];push 68A0h;mov [esp] ebp;mov ebp esp;add ebp 4;add ebp 4;push ebp;push dword ptr [esp+4];pop ebp;pop dword ptr [esp];pop esp;add [esp] eax;,mov eax [edi+1Ch];and eax 1;or eax eax;jz loc_407386;and dword ptr [edi+1Ch] 0FFFFFFFEh;mov ebx ebx;
18,push dword ptr [esp];pop eax;push edx;mov edx esp;push ebx;mov ebx 4;add edx ebx;pop ebx;add edx 4;xchg edx [esp];pop esp;xor [esp] eax;pushf;,pop ecx;pop eax;idiv  ecx;push edx;push eax;pushf;
19,mov cx [esp];sub esp 4;mov [esp] ecx;mov ecx esp;add ecx 4;add ecx 2;xor ecx [esp];xor [esp] ecx;xor ecx [esp];pop esp;shl word ptr [esp] cl;pushf;,pop eax;pop ecx;test ecx eax;pushf;
20,push dword ptr [esp];pop eax;push ebp;mov ebp esp;add ebp 4;add ebp 4;xchg ebp [esp];mov esp [esp];dec dword ptr [esp];pushf;,pop cx;shl byte ptr [esp] cl;pushf;
21,mov eax [esp];sub esp 4;mov [esp] ebp;mov ebp esp;add ebp 4;push edi;mov edi 4;add ebp edi;pop edi;xchg ebp [esp];pop esp;bswap eax;push ecx;push 6F34h;mov [esp] esp;add dword ptr [esp] 4;pop ecx;add ecx 4;sub ecx 4;xchg ecx [esp];pop esp;mov [esp] eax;,pop ax;pop cx;cmp cl al;pushf;
